id,repost_of,name,url,datetime,last_updated,price,where,has_image,geotag,body,created,images,attrs,cats_ok,dogs_ok,no_smoking,housing_type,laundry,parking,bedrooms,bathrooms,area,available,ev_charging,is_furnished,wheelchair_acccess,Latitude,Longitude
7104948144,,"One Month Free, Do a Virtual Tour Today! 1bd/1ba",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-one-month-free-do-virtual/7104948144.html,2020-04-07 14:20,2020-04-07 14:20,$2800,lower nob hill,True,"(37.788251, -122.416257)","AVA Nob Hill is a new type of living space in San Francisco that apartment caters to a community experience in addition to your own personal space. Just minutes from downtown and South of Market and Mission District, there are always fresh adventures to embark on. Colombini Bistro, Café Royale, The Outsiders, Union Square Park and Landmark Theatres Lumiere are just a few local destinations and delicacies you'll love in this chic neighborhood.

 Our studios and 1- and 2-bedroom Nob Hill apartments feature an urban-inspired design that extends beyond your walls and throughout the entire community. There's the outdoor space with lava heat and lobby lounge-both with free Wi-Fi – -perfect for you to hang with friends or unwind alone. We also have a spectacular fitness center and dog run on-site, ensuring you'll never have to go far to do the things you love.

-Lounge
-Controlled Access
-On-site maintenance
-Hard-Surface Flooring
-Parking
-Patio/ Balcony
-Package Acceptance
-Barbecue
-Pet Friendly
-Views
-WiFi
-Fully-equipped kitchen

Call:  

Visit www.avalon-communities.com/ava-nob-hill to learn more.

Prices and availability are subject to change.",2020-04-07 14:16,[],"['1BR / 1Ba', '528ft2', 'available apr 8', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'no smoking', 'attached garage']",True,True,True,apartment,laundry in bldg,attached garage,1,1,528ft2,apr 8,,,,37.788251,-122.416257
7104947667,6985617526,Gorgeous Place in Heart of Mission,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-gorgeous-place-in-heart/7104947667.html,2020-04-07 14:19,2020-04-07 14:19,$2100,mission district,True,"(37.74888, -122.418151)","The spacious and beautiful studio in the heart of Mission is available now. Conveniently located on major transportation lines. Walker's dream location with everything you could want close. 

Apartment key features:
•	Updated kitchen cabinets
•	Gas stove
•	Walking closet with mirror doors
•	Hardwood floors throughout
•	Tiles in the bathroom and kitchen
•	New light fixtures
•	Freshly painted
•	New window blinds
•	Owner pays for heat, water, garbage, and sewer


Please contact Narciso to arrange the tour at  
. Please email or text for further information.",2020-04-07 14:15,[],"['0BR / 1Ba', 'available apr 8', 'apartment', 'laundry on site']",,,,apartment,laundry on site,,0,1,,apr 8,,,,37.74888,-122.418151
7103472181,6235769923,"Beautiful 2BR, W/D in UNIT, Walk to FiDi, BART, MUNI",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beautiful-2br-d-in-unit/7103472181.html,2020-04-07 14:19,2020-04-07 14:19,$4795,lower nob hill,True,"(37.7884, -122.416128)","952 Sutter - 2BR/1BA - $4795

*Showings By Appointment Only
*Text  
 or Email to Schedule a Tour
*Price and Availability Subject to Change, please confirm details at the time of showing
*Photos may be of a similar unit. Photos with furnishings are for inspiration only

THE CONTACT
Elena Hamner | Leasing Agent


Mosser Companies
www.mosserliving.com

Nestled between Nob Hill, Union Square, and the Tenderloin, Lower Nob Hill evokes both the elegance of Nob Hill and the hipness of the Tenderloin, and it is dotted with edgy art galleries and bohemian coffee shops. For foodies, hip eateries and casual cocktail lounges can be found on every block. Gourmet groceries can be found a block away at Sutter Fine Foods, and Heart of the City Farmers Market is a twice weekly event, located nearby. Minutes from Union Square and the Financial District, Lower Nob Hill is a commuters dream, from the iconic California Street Cable Car, to cross town Muni buses, and Civic Center BART and Metro station.

Walking Score: 99
Biking Score: 75
Transit Score: 1000

THE APARTMENT
Within the breathtaking facade of 952 Sutter Street are renovated luxury apartments that combine elegant period details with posh modern amenities. This remarkable residential building is listed on the National Register of Historic Places. 

This 2 Bedroom apartment is comfortable and sumptuous- featuring a freshly renovated chef's kitchen and an exquisitely restored bath featuring state-of-the-art fixtures and appliances, gorgeous marble counters and crisp modern cabinetry. Each unit offers charmingly unique vintage details throughout, including gorgeous hardwood floors, wainscoted walls, original doors with brass hardware, tall double-hung windows, crown moldings and coffered ceilings. 

-Sleek Chef's kitchen with dishwasher, built-in microwave and floor-to-ceiling cabinets
-Upgraded Lighting Fixtures 
-In-Unit Washer/Dryer
-Spacious Closets
-Shared Yard/Patio 
-Renovated Bathroom with Tiled Shower Over Bath
-Pet Friendly
-No Parking
-Utilities Not Included

LEASE TERMS
-Lease: 1 Year
-Income Requirement: 2.5xRent, 3x w/Guarantor
-Deposit: 1-2x Rent (Depends on Credit)
-Renters Insurance Required
-Utilities: Not Included
-Pets: $500 Pet Deposit, $75/m Dog, $50/m Cat
-Proof of Income: 2 Pay Stubs; or Signed Offer Letter w/3 Months Bank Statement; or 6x Rent Amount Saved w/3 Months Bank Statement

*DON'T WANT TO DO SECURITY DEPOSIT? DO OUR DEPOSIT IQ BOND INSTEAD
-Non-Refundable
-Bond: 25-55% of Rent

**APPLICATION LINK ($35): https://www.on-site.com/apply/company/39428

*We do business in accordance with the Federal Fair Housing Law*
CaBRE #01341448",2020-04-04 11:24,[],"['2BR / 1Ba', 'application fee details: 35', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'no parking']",True,True,True,apartment,w/d in unit,no parking,2,1,,,,,,37.7884,-122.416128
7103484634,6235769923,"Efficiency Studio - New Kitchenette - Walk to FiDi, BART",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-efficiency-studio-new/7103484634.html,2020-04-07 14:19,2020-04-07 14:19,$2095,lower nob hill,True,"(37.78839, -122.416062)","952 Sutter - Studio/1BA - $2095 - One Occupancy 

*Showings By Appointment Only
*Text  
 or Email to Schedule a Tour
*Price and Availability Subject to Change, please confirm details at the time of showing.
*Photos may be of a similar unit. Photos with furnishings are for inspiration only

THE CONTACT
Elena Hamner | Leasing Agent


Mosser Companies
www.mosserliving.com

Nestled between Nob Hill, Union Square, and the Tenderloin, Lower Nob Hill evokes both the elegance of Nob Hill and the hipness of the Tenderloin, and it is dotted with edgy art galleries and bohemian coffee shops. For foodies, hip eateries and casual cocktail lounges can be found on every block. Gourmet groceries can be found a block away at Sutter Fine Foods, and Heart of the City Farmers Market is a twice weekly event, located nearby. Minutes from Union Square and the Financial District, Lower Nob Hill is a commuters dream, from the iconic California Street Cable Car, to cross town Muni buses, and Civic Center BART and Metro station.

Walking Score: 99
Biking Score: 75
Transit Score: 1000

THE APARTMENT
-New Kitchenette
-Mini Refrigerator 
-Microwave
-Two Burner Top
-Renovated Bathroom with Tiled Shower Over Bath
-Refinished Beautiful Hardwood Flooring
-No Closet
-Laundry in Building
-Shared Yard/Patio 
-Pet Friendly 
-No Parking
-Monthly Garages Around the Area

LEASE TERMS
-Lease: 6 Month -1 Year
-Income Requirement: 2.5xRent, 3x w/Guarantor
-Deposit: 1-2x Rent (Depends on Credit)
-Renters Insurance Required
-Utilities: Not Included
-Pets: $500 Pet Deposit, $75/m Dog, $50/m Cat
-Proof of Income: 2 Pay Stubs; or Signed Offer Letter w/3 Months Bank Statement; or 6x Rent Amount Saved w/3 Months Bank Statement

**APPLICATION LINK ($35): https://www.on-site.com/apply/company/39428

*We do business in accordance with the Federal Fair Housing Law*
CaBRE #01341448",2020-04-04 11:46,[],"['0BR / 1Ba', 'application fee details: 35', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'no smoking', 'no parking']",True,True,True,apartment,laundry in bldg,no parking,0,1,,,,,,37.78839,-122.416062
7104946960,,Large 2 Bed -1 Bath Inner Mission Apartment ~ J.Wavro,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-large-2-bed-1-bath-inner/7104946960.html,2020-04-07 14:18,2020-04-07 14:18,$4500,mission district,True,"(37.7509, -122.4153)","San Francisco - Inner Mission - Apartment for rent
Large 2 Bed -1 Bath Inner Mission Apartment
 Link to mobile layout:   http://www.jwavro.com/rental_details.php?id=33012602-0
Summary:
Rent: $4500
Bed / Bath: 2 / 1
Type: Apartment
Term: 1 Year
Please contact:
Shane Nugent   |    show contact info
    |   www.jwavro.com

Description:

	This remodeled 2 bed 1 bath apartment is located at York and 25th Street. The Mission represents the heart and soul of San Francisco and is a melting pot with taquerias and panaderias, pop-up galleries, boutiques, cafes and bars. Public transportation is great; numerous Muni-light-rail and bus lines criss-cross the neighborhoods, and there are two Bart Stations within walking distance of this apartment.

	 Unit Features

	~ Completely remodeled apartment
	~ Two bedrooms with ample closet space
	~ 1 Bathroom
	~ Updated kitchen with brand new appliances - Gas Stove, refrigerator, dishwasher, microwave
	~ Large living room and formal dining area
	~ Hardwood floors throughout
	~ Shared washer and dryer in garage - coin op
	~ One parking space included in rent in attached garage
This is a non-smoking unit. 
Details:
Floors: Hardwood
Kitchen: Upgraded
Laundry: In Building
Outside area: 

Parking: Garage
Parking Fee: $0
Pets:   Cat & Dog Negotiable    OK 
View: Street
Location:
York Street & 25th Street, San Francisco, California 

Meet the J.Wavro Team:
http://www.jwavro.com/us.php
Please contact:
Shane Nugent   |    show contact info
    |   www.jwavro.com
Preview more properties at www.jwavro.com


Content and Images © 2003 - 2019 J.Wavro   |   BRE # 01810008   |   cl31227292013192-0",2020-04-07 14:14,[],"['2BR / 1Ba', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'attached garage']",True,True,,apartment,laundry in bldg,attached garage,2,1,,,,,,37.7509,-122.4153
7104921736,,"Spectacular Views in Every Direction, Take a Virtual Today, Stay Safe!",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spectacular-views-in/7104921736.html,2020-04-07 14:13,2020-04-07 14:13,$4673,SOMA / south beach,True,"(37.787213, -122.391949)","399 Fremont, managed by UDR
399 Fremont St.
San Francisco, CA 94105



Experience the ultimate metropolitan lifestyle in every way possible at 399 Fremont - San Francisco's most coveted new address.

Luxury living one bedroom apartment with one bath, stainless steel Bosch appliances and beautiful walnut hardwood flooring.

Amenities that make Living Amplified:
Heated Lap Pool
Bark Park
Private Dining
Mixed Media Room
Fitness Center featuring Yoga and TRX classes

Pricing may vary based on lease terms, move-in date, availability, and is subject to change at any time. Offered prices are for base rent only as other changes, fees, terms, and conditions may apply. Square footage, amenities, and floor plan listed may vary between individual units and are subject to availability. Deposits may fluctuate based on credit, rental history, income, and other qualifying standards. Occupancy guidelines may apply. Equal housing opportunity provider. Photos are representative of our community, and may not be the exact home advertised. Please reach us to view and select your new home! This apartment requires a $1000 deposit.

VIEW OUR WEBSITE:

http://www.udr.com/san-francisco-bay-area-apartments/san-francisco/399-fremont/

Monday 10:00am - 6:00pm
Tuesday 10:00am - 6:00pm
Wednesday 10:00am - 6:00pm
Thursday 10:00am - 6:00pm
Friday 10:00am - 6:00pm
Saturday 10:00am - 5:00pm
Sunday 12:00pm - 5:00pm



[#7309478]",2020-04-07 13:29,[],"['1BR / 1Ba', '790ft2', 'EV charging', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking']",True,True,True,apartment,w/d in unit,,1,1,790ft2,,True,,,37.787213,-122.391949
7102223609,7087726621,"Noe Valley, PARKING included! All the amenities!",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-noe-valley-parking/7102223609.html,2020-04-07 14:12,2020-04-07 14:12,$3000,noe valley,True,"(37.744793, -122.425654)","Spacious 1 bedroom, 1 bath, unfurnished apartment. 

In this clean and sunny apartment amenities include:

• Full-size Dishwasher 
• Hardwood bedroom floors
• Insulated glass windows 
• New cellular living room blinds
• Walk-in closet plus extra hall closet
• Lots of natural light

Building amenities include:
• One Parking space 
• Laundry in building
• Fully Retrofitted Building
• Shuttle stops and freeways nearby

The location in Noe Valley is ideal with grocery stores, shops and restaurants close by. Shuttle stops to the south bay are just a block or two away, public transportation (BART, Muni, J Church) and freeway entrances to both 101 and 280 are also nearby for an easy commute. 

Rent: $3000 a month with parking included, security deposit 1.5x rent, 12 month lease. 
Includes: 1 parking space, small storage locker, water and garbage. 
This unit is non-smoking and no pets are allowed.

Please respond to the email above. I look forward to hearing from you!",2020-04-01 17:00,[],"['1BR / 1Ba', 'apartment', 'laundry in bldg', 'no smoking', 'attached garage']",,,True,apartment,laundry in bldg,attached garage,1,1,,,,,,37.744793,-122.425654
7104938261,,Sunny Fully Furnished 1BR Condo in SOMA (Utilities Included!),https://sfbay.craigslist.org/sfc/apa/d/san-francisco-sunny-fully-furnished-1br/7104938261.html,2020-04-07 14:11,2020-04-07 14:11,$3250,SOMA / south beach,True,"(37.778943, -122.406163)","Sunny Fully Furnished 1BR Condo in SOMA (Utilities Included!)

Contemporary one bedroom condo centrally located in SoMa / Downtown San Francisco, known for its excellent museums, tech headquarters and restaurants.
Enjoy a great kitchen, roof deck with gas grill and panoramic city views. 

This condo comes fully furnished including utilities for a 6 month lease.

Furnishings and Amenities

- HDTV (rooftop antenna)
- Apple TV with streaming Netflix & Amazon
- Surround sound speaker system 
- High-speed WIFI 
- Washer and dryer
- Automatic gas fireplace
- Gas range, dishwasher, many pots, pans, & high quality cutlery
- Super comfy queen size memory foam bed

Location

-10 minute walk to Whole Foods
-Close to the Orpheum, A.C.T., Curran 
-Close walk to many great restaurants and bars 
-5 minutes walk to BART (subway)
-1 block to Muni (bus) 
-15 minute walk to Caltrain
- Street Parking

You will have access to the entire condo as well as the shared roof deck with gas grill, outdoor entertaining area.
This condo does not come with private parking.

This condo is available May 1, 2020.

Details

- All Utilities included 
- Deposit is 1x monthly rent 
- $40 Application Fee 
- 6 month lease 



Cici Nicasio


Realtor 
DRE# 020885887",2020-04-07 13:58,[],"['1BR / 1Ba', 'available may 1', 'application fee details: $40', 'furnished', 'condo', 'w/d in unit', 'street parking']",,,,condo,w/d in unit,street parking,1,1,,may 1,,True,,37.778943,-122.406163
7102094273,,Two Bedroom 2x2 at Avalon Dogpatch. Apt 224. One month rent free!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-two-bedroom-2x2-at-avalon/7102094273.html,2020-04-07 14:11,2020-04-07 14:11,$4270,Dogpatch,True,"(37.758942, -122.391644)","**One month's rent free if move in by 4/15**

Where you live is where you come alive. In one of San Francisco’s most eclectic and vibrant neighborhoods, Avalon Dogpatch connects you to everything needed to upgrade your lifestyle. Within our community of courtyard-connected homes, you'll find thoughtfully designed studio, one-, two- and three bedroom apartments and townhomes. Entertain in a modern, open kitchen featuring stone countertops, tile backsplash and stainless steel appliances. Live your life effortlessly with amenities including a fully-loaded fitness center with yoga studio and Fitness on Demand programming. Relax in our indoor/outdoor lounge with entertaining spaces or unwind on one of the rooftop decks with stunning Bay views. Your four legged friend will enjoy our WAG Pet Spa and dog run, along with a brand new adjacent public dog park.

-Business Center
-Stainless Appliances
-Washer/ Dryer
-Hard-Surface Flooring
-Lounge
-Parking
-WiFi
-Bike Storage
-Fitness Center
-Public Transportation
-Fully-equipped kitchen
-Air Conditioning

Call:  

Visit www.avalon-communities.com/avalon-dogpatch to learn more.

Prices and availability are subject to change.",2020-04-01 12:29,[],"['2BR / 2Ba', '1006ft2', 'available apr 1', 'application fee details: 45.50', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking']",True,True,True,apartment,w/d in unit,,2,2,1006ft2,apr 1,,,,37.758942,-122.391644
7103489318,6560676548,"Studio in Convenient Location, Walk to BART, MUNU, FiDi",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-studio-in-convenient/7103489318.html,2020-04-07 14:11,2020-04-07 14:11,$1995,downtown / civic / van ness,True,"(37.783513, -122.420755)","840 Van Ness - STUDIO - $1995

*Showings By Appointment Only
*Text  
 or Email to Schedule a Tour
*Price and Availability Subject to Change
*Photos may be of a similar unit

THE CONTACT
Elena Hamner | Leasing Agent


Mosser Companies
www.mosserliving.com

840 Van Ness is a striking turn of the century building located in a vibrant entertainment district, where Civic Center meets Polk Gulch. The units feature well appointed kitchen & baths including granite counters, sleek counters and stainless steel appliances including microwaves and dishwashers. In addition to hardwood floors, large windows and generous closets, each apartment holds unique vintage characteristics like wainscoted walls, crown moldings, built in shelves and bay windows. This pet-friendly building includes onsite laundry. Transit and urban amenities are well within reach in a neighborhood is offering theater, live music, films and an impressive offering of classic and cutting edge eateries and bars.

Walking Score: 99
Biking Score: 96
Transit Score: 100

THE APARTMENT
- Kitchen w/Stainless Steel Appliances
- Granite Countertops
- Remodel Bathroom w/Tub
- Hardwood Flooring
- Natural Light
- Laundry in Building
- Pet Friendly
-Utilities Not Included
- No Parking 

LEASE TERMS
-Lease: 1 Year
-Income Requirement: 2.5xRent, 3x w/Guarantor
-Deposit: 1-2x Rent (Depends on Credit)
-Renters Insurance Required
-Utilities: Not Included
-Pets: $500 Pet Deposit, $75/m Dog, $50/m Cat
-Proof of Income: 2 Pay Stubs; or Signed Offer Letter w/3 Months Bank Statement; or 6x Rent Amount Saved w/3 Months Bank Statement

*DON'T WANT TO DO SECURITY DEPOSIT? DO OUR DEPOSIT IQ BOND INSTEAD
-Non-Refundable
-Bond: 25-55% of Rent

**APPLICATION LINK ($35): https://www.on-site.com/apply/company/39428

*We do business in accordance with the Federal Fair Housing Law*
CaBRE #01341448",2020-04-04 11:54,[],"['0BR / 1Ba', 'application fee details: $35', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'no smoking', 'no parking']",True,True,True,apartment,laundry on site,no parking,0,1,,,,,,37.783513,-122.420755
