,Neighborhood,Latitude,Longitude
0,Bayview Hunters Point,37.73431000000005,-122.37942999999996
1,Bernal Heights,37.73903000000007,-122.41620999999998
2,Castro/Upper Market,37.76122000000004,-122.44410999999997
3,Chinatown,37.795390000000054,-122.40811999999994
4,Excelsior,37.72104000000007,-122.43159999999995
5,Financial District/South Beach,37.795780000000036,-122.40047999999996
6,Glen Park,37.738410000000044,-122.43098999999995
7,Inner Richmond,37.78090000000003,-122.46555999999998
8,Golden Gate Park,37.77144000000004,-122.45414
9,Haight Ashbury,37.769930000000045,-122.44691999999998
10,Hayes Valley,37.77428000000003,-122.42832999999996
11,Inner Sunset,37.762110000000064,-122.46885999999995
12,Japantown,37.785420000000045,-122.42971999999997
13,McLaren Park,37.78626956913233,-122.48924763662629
14,Tenderloin,37.78513000000004,-122.41450999999995
15,Lakeshore,37.729850000000056,-122.49416999999994
16,Lincoln Park,37.78159000000005,-122.49440999999996
17,Lone Mountain/USF,37.77791000000008,-122.45261999999997
18,Marina,37.80337000000003,-122.43692999999996
19,Russian Hill,37.80203000000006,-122.41962999999998
20,Mission,37.763540000000035,-122.41757999999999
21,Mission Bay,37.76690000000008,-122.38978999999995
22,Nob Hill,37.793360000000064,-122.41787
23,Seacliff,37.78854000000007,-122.48691999999994
24,Noe Valley,37.75160000000005,-122.42907999999994
25,North Beach,37.799090000000035,-122.40844999999996
26,Oceanview/Merced/Ingleside,37.71012132655954,-122.46696058724535
27,South of Market,37.777570000000026,-122.40434999999997
28,Sunset/Parkside,37.72963409445369,-122.49339125949575
29,Outer Mission,37.71240000000006,-122.44912999999997
30,Outer Richmond,37.77958000000007,-122.50240999999994
31,Pacific Heights,37.79291000000006,-122.43463999999994
32,Portola,37.72810000000004,-122.41199999999998
33,Potrero Hill,37.757503990677286,-122.40675616213147
34,Presidio,37.799480000000074,-122.46726999999998
35,Presidio Heights,37.79028000000005,-122.45165999999995
36,Treasure Island,37.82489000000004,-122.37086999999997
37,Twin Peaks,37.75669000000005,-122.44223999999997
38,Visitacion Valley,37.71307000000007,-122.40930999999995
39,West of Twin Peaks,37.75017843787799,-122.44767208025588
40,Western Addition,37.780950000000075,-122.43221999999997
