,Incident Date,Incident Category,Analysis Neighborhood,point,Incident Count
0,2020/02/03,Missing Person,Lakeshore,"37.72694991292525, -122.47603947349434",1
1,2020/02/03,Stolen Property,Mission,"37.752439644389675, -122.41517229045435",1
2,2020/02/03,Non-Criminal,Financial District/South Beach,"37.784560141211806, -122.40733704162238",1
4,2020/01/05,Miscellaneous Investigation,Pacific Heights,"37.78711245591735, -122.44024995765258",1
5,2020/02/03,Miscellaneous Investigation,Financial District/South Beach,"37.796926429317054, -122.39950750040278",1
6,2020/01/16,Offences Against The Family And Children,Castro/Upper Market,"37.76115547557552, -122.4305735690657",1
8,2020/01/23,Other Miscellaneous,Castro/Upper Market,"37.76213762477359, -122.43624180667507",1
9,2020/02/03,Non-Criminal,Mission,"37.77230320284353, -122.41967183064224",1
10,2020/02/03,Non-Criminal,Mission,"37.74930406746458, -122.413770628689",1
11,2020/01/10,Lost Property,Twin Peaks,"37.75166941216422, -122.44624479108757",1
12,2020/02/03,Larceny Theft,Bayview Hunters Point,"37.737955394873, -122.38958738129647",1
13,2020/01/31,Miscellaneous Investigation,Pacific Heights,"37.79334728396327, -122.43473366442743",1
14,2020/01/31,Larceny Theft,Pacific Heights,"37.7935575533924, -122.43308841758456",1
15,2020/01/02,Larceny Theft,Sunset/Parkside,"37.74550376390193, -122.50488579234397",1
16,2020/02/03,Larceny Theft,Western Addition,"37.782056938164764, -122.4273963984862",1
17,2020/02/03,Warrant,South of Market,"37.78328785199654, -122.40895216005933",1
18,2020/02/02,Assault,Western Addition,"37.77821277086995, -122.43505239147956",1
19,2020/02/03,Other Miscellaneous,Sunset/Parkside,"37.76261677293727, -122.49855529961762",1
20,2020/02/03,Larceny Theft,Golden Gate Park,"37.7709924047752, -122.45683889241795",1
22,2020/02/02,Lost Property,North Beach,"37.80748251193778, -122.41397500878728",1
23,2020/01/31,Burglary,Potrero Hill,"37.75967543120843, -122.40207975290689",1
24,2020/02/02,Traffic Violation Arrest,Mission,"37.760433260443826, -122.41592874676807",1
25,2020/02/02,Burglary,North Beach,"37.803761300729036, -122.41322278716598",1
26,2020/02/03,Other Miscellaneous,Castro/Upper Market,"37.76432401133162, -122.43170028845323",1
27,2020/02/03,Burglary,Financial District/South Beach,"37.78667834407957, -122.39526629571729",1
28,2020/02/02,Larceny Theft,Western Addition,"37.78454660878887, -122.42283808747601",1
29,2020/02/02,Missing Person,Russian Hill,"37.79435377821616, -122.4197527208369",1
30,2020/02/03,Weapons Carrying Etc,Bayview Hunters Point,"37.717178947506795, -122.38626501459227",1
31,2020/02/03,Malicious Mischief,Financial District/South Beach,"37.78844216230654, -122.40034385084708",1
32,2020/02/02,Assault,Bayview Hunters Point,"37.7360152670918, -122.38474560905325",1
33,2020/02/01,Motor Vehicle Theft,Potrero Hill,"37.759559127723094, -122.40401060371038",1
34,2020/02/03,Burglary,Outer Mission,"37.72786053209599, -122.43808472880306",1
35,2020/02/03,Missing Person,Bayview Hunters Point,"37.72990988256753, -122.39717687851248",1
36,2020/02/03,Drug Offense,Mission,"37.76560583760297, -122.41048669029503",1
37,2020/02/01,Motor Vehicle Theft,Financial District/South Beach,"37.79323049132005, -122.3931813328012",1
38,2020/02/03,Larceny Theft,Haight Ashbury,"37.77021017395845, -122.44534499148274",1
39,2020/02/02,Assault,Russian Hill,"37.79368378436252, -122.41793575914046",1
40,2020/02/02,Malicious Mischief,Tenderloin,"37.78465714011983, -122.41443019938555",1
41,2020/02/01,Larceny Theft,Western Addition,"37.77967358513161, -122.4235413079694",1
42,2020/02/03,Larceny Theft,Mission,"37.765720754921674, -122.42196431314674",1
43,2020/02/03,Larceny Theft,Financial District/South Beach,"37.790565236529574, -122.40557374633903",1
44,2020/01/31,Larceny Theft,Hayes Valley,"37.77324779963808, -122.42899005279499",1
45,2020/02/01,Larceny Theft,Japantown,"37.784944005025956, -122.4347299934904",1
46,2020/02/03,Burglary,South of Market,"37.77749384266056, -122.41629170279316",1
47,2020/02/03,Non-Criminal,Nob Hill,"37.78838792971966, -122.41518527060464",1
48,2020/02/03,Larceny Theft,Chinatown,"37.79553183163968, -122.40331694612632",1
49,2020/02/01,Larceny Theft,Japantown,"37.78504768682166, -122.43390501603517",1
50,2020/01/31,Burglary,Financial District/South Beach,"37.79384367995605, -122.39888041931147",1
51,2020/02/02,Assault,Financial District/South Beach,"37.787996308614986, -122.39359716503304",1
52,2020/02/03,Warrant,South of Market,"37.7751608100771, -122.40363551943442",1
53,2020/02/03,Other Miscellaneous,Mission,"37.76357160254071, -122.41733240731715",1
54,2020/02/03,Other Miscellaneous,Sunset/Parkside,"37.744681182378415, -122.48118121642418",1
55,2020/02/01,Other,Tenderloin,"37.78682752578904, -122.41992794913615",1
57,2020/01/31,Fraud,Tenderloin,"37.777773070705116, -122.41600949683082",1
